ngs_te_mapper,relocate,temp,retroseq,popoolationte,telocate
1,3,19,5,1,53
3,6,21,5,4,56
3,6,22,7,5,64
3,7,24,11,5,65
3,7,25,12,5,68
3,7,25,14,6,70
4,7,26,15,6,71
4,7,27,18,6,73
4,7,27,19,6,74
4,7,27,20,7,76
4,8,28,20,7,81
4,9,28,20,8,86
4,9,28,20,8,86
4,9,29,22,8,87
4,9,29,24,8,87
4,9,29,25,8,90
4,9,31,27,8,90
4,9,31,30,8,93
4,9,31,30,8,95
4,10,31,31,9,95
5,10,32,34,9,96
5,10,32,35,10,101
5,10,32,38,10,101
5,10,32,41,10,102
5,10,33,42,10,102
5,11,33,46,10,103
5,11,33,46,11,103
5,11,34,48,11,103
5,11,34,49,11,103
5,11,36,49,12,104
5,12,36,49,12,105
5,12,37,50,13,106
5,12,37,52,13,107
5,12,38,52,13,109
5,12,38,53,13,110
6,12,39,54,14,110
6,12,39,54,14,114
6,12,39,54,14,118
6,12,39,54,14,119
6,12,40,57,14,120
6,13,40,57,14,124
6,13,40,59,15,130
6,13,40,60,15,132
6,13,40,60,15,132
7,13,40,61,15,133
7,13,41,61,15,135
7,13,41,61,15,137
7,14,42,61,15,138
7,14,43,62,15,147
7,14,44,63,15,148
7,14,44,63,15,152
7,14,44,64,15,156
7,15,44,65,15,156
7,15,45,65,15,158
8,15,45,66,15,161
8,15,45,68,16,166
8,15,46,68,16,176
8,16,48,68,16,179
8,16,48,69,16,183
8,16,49,73,16,183
8,16,49,73,16,188
8,16,49,73,16,194
8,16,49,73,16,196
8,16,49,74,16,211
9,17,49,75,16,223
9,17,51,75,17,237
9,17,52,76,17,255
9,18,52,77,17,256
9,18,52,78,17,266
9,18,53,78,17,306
9,18,53,81,17,387
10,18,54,81,17,397
10,18,54,81,17,453
10,19,55,82,17,455
10,19,56,83,18,490
10,19,56,84,18,491
10,19,56,85,18,515
10,19,59,85,18,524
10,19,60,87,18,530
10,19,60,89,18,539
11,20,60,92,18,574
11,20,61,97,18,578
11,20,65,98,19,670
12,20,67,109,19,695
12,22,67,110,19,702
12,22,67,117,20,712
12,22,70,122,20,735
13,23,89,125,20,1036
13,25,97,136,20,1041
16,27,99,146,21,1048
17,28,102,150,21,1279
19,31,114,165,23,1427
20,35,118,168,23,6057
