Strain,Parental isolate or isogenic with,Isolate source or other name,Geographic origin,Environmental origin,Population,Sample
YJM189,YJM180,NCYC 431,Unknown,Distillery,wine/European,SRR800764
YJM193,YJM184,NCYC 914,Unknown,Distillery,wine/European,SRR800765
YJM195,YJM182,NCYC 762,Nigeria,Palm wine,West African,SRR800766
YJM244,YJM210,CBS 1227,Romania,Clinical,wine/European,SRR800767
YJM248,YJM218,CBS 2910,Unknown,Clinical (feces),wine/European,SRR800768
YJM270,YJM215,CBS 2807,Slovenia,Wine,wine/European,SRR800769
YJM271,YJM214,CBS 1782,Unknown,Brewery,wine/European,SRR800770
YJM320 ,YJM309,CBS 7837,"CA, USA",Clinical,mosaic,SRR800771
YJM326,YJM310,CBS 7838,"CA, USA",Clinical,mosaic,SRR800772
YJM428,YJM308,CBS 7836,"CA, USA",Clinical,mosaic,SRR800773
YJM450,YJM440,92-123,"CA, USA",Clinical,mosaic,SRR800774
YJM451,YJM436,B70302(b),Unknown,Clinical,mosaic,SRR800775
YJM453,YJM434,B68019c,Unknown,Clinical,wine/European,SRR800776
YJM456,YJM454,89-156,"CA, USA",Clinical,mosaic,SRR800777
YJM470,YJM455,SUH,"CA, USA",Clinical,mosaic,SRR800778
YJM541,YJM522,SUH,"CA, USA",Clinical,mosaic,SRR800779
YJM554,YJM521,SUH,"CA, USA",Clinical,mosaic,SRR800780
YJM555,YJM523,SUH,"CA, USA",Clinical,mosaic,SRR800781
YJM627,Y55,J.E. Haber,Unknown,Laboratory,West African,SRR800782
YJM681,YJM653,SUH,"CA, USA",Clinical,mosaic,SRR800783
YJM682,YJM668,R87-91,"TX, USA",Clinical,mosaic,SRR800784
YJM683,YJM678,R93-1871,"TX, USA",Clinical,mosaic,SRR800785
YJM689,YJM675,R93-1017,"TX, USA",Clinical,mosaic,SRR800786
YJM693,YJM669,R91-48,"YX, USA",Clinical,mosaic,SRR800787
YJM969,YJM967,96-98,Italy,Clinical,wine/European,SRR800788
YJM972,YJM947,96-100,Italy,Clinical,wine/European,SRR800789
YJM975,YJM948,96-101,Italy,Clinical,wine/European,SRR800790
YJM978,YJM954,96-109,Italy,Clinical,wine/European,SRR800791
YJM981,YJM955,96-110,Italy,Clinical,wine/European,SRR800792
YJM984,YJM956,96-112,Italy,Clinical,wine/European,SRR800793
YJM987,YJM957,96-113,Italy,Clinical,wine/European,SRR800794
YJM990,YJM963,96-119,Italy,Clinical,wine/European,SRR800795
YJM993,YJM964,96-120,Italy,Clinical,wine/European,SRR800796
YJM996,YJM965,96-121,Italy,Clinical,wine/European,SRR800797
YJM1078,YJM1075,NRRL YB-4348,Portugal,Clinical,wine/European,SRR800854
YJM1083,YJM1073,"NRRL Y-10,988","NC, USA",Clinical,mosaic,SRR800855
YJM1129,YJM1123,NCMH 125,"OH, USA",Distillery,wine/European,SRR800856
YJM1133,YJM1125,MMRL 125,"NC, USA",Clinical,mosaic,SRR800798
YJM1190,YJM1107,C. Kaufman,"MI, USA",Clinical,mosaic,SRR800799
YJM1199,YJM1115,C. Kaufman,"MI, USA",Clinical,mosaic,SRR800800
YJM1202,YJM1116,C. Kaufman,"MI, USA",Clinical,mosaic,SRR800801
YJM1208,YJM1119,1882,"MI, USA",Clinical,mosaic,SRR800802
YJM1242,YJM1213,NRRL Y-35,"IL, USA",Fruit,wine/European,SRR800803
YJM1244,YJM1215,NRRL Y-1532,Indonesia,Fruit,wine/European,SRR800804
YJM1248,YJM1219,NRRL Y-1546,W. Africa,Wine,West African,SRR800805
YJM1250,YJM1223,NRRL Y-6673,Unknown,Sugar cane,wine/European,SRR800806
YJM1252,YJM1224 ,NRRL Y-6679,Spain,Alpechin,wine/European,SRR800807
YJM1273,YPS134,P. Sniegowski,"PA, USA",Oak tree,North American,SRR800808
YJM1304,YJM676,R93-1092,"TX, USA",Clinical,mosaic,SRR800809
YJM1307,YJM1071,NRRL Y-961,"DC, USA",Clinical,mosaic,SRR800810
YJM1311,YJM1101,C. Kaufman,"MI, USA",Clinical,mosaic,SRR800811
YJM1326,YJM1289,J. Bakken,"MN, USA",Clinical,mosaic,SRR800812
YJM1332,YJM1284,M1-2,Italy,Wine,wine/European,SRR800813
YJM1336,YJM1285 ,M28s2,Italy,Wine,wine/European,SRR800814
YJM1338,YJM1315,NRRL Y-963,"MD, USA",Sour fig,mosaic,SRR800815
YJM1341,YJM1323,NRRL Y-12637,South Africa,Wine,wine/European,SRR800816
YJM1342,YJM1324,NRRL Y-12638,South Africa,Soil,mosaic,SRR800817
YJM1355,YJM1344,NRRL Y-234,"IL, USA",Molasses,wine/European,SRR800818
YJM1356,YJM1349,NRRL Y-747,Unknown,Cider,wine/European,SRR800819
YJM1381,YJM1357,NRRL YB-427,Trinidad,Rum fermentation,mosaic,SRR800820
YJM1383,YJM1359,NRRL Y-5511,Philippines,Coconut,wine/European,SRR800821
YJM1385,YJM1363,NRRL Y-11857,"MD, USA",Sugar refinery,mosaic,SRR800822
YJM1386,YJM1365,NRRL Y-11878,Jamaica,Sugar cane,mosaic,SRR800823
YJM1387,YJM1366,NRRL Y-12758,Japan,Wine,wine/European,SRR800824
YJM1388,YJM1367,NRRL Y-12769,Malaya,Fermented tapioca,sake,SRR800825
YJM1389,YJM1368,NRRL Y-17447,Thailand,Sewage,sake,SRR800826
YJM1399,YJM1393,NRRL YB-908,Unknown,Wild cherry tree gum,mosaic,SRR800827
YJM1400,YJM1394,NRRL YB-4081,Philippines,Guava,mosaic,SRR800828
YJM1401,YJM1395,NRRL YB-4082,Philippines,Papaya,mosaic,SRR800829
YJM1402,YJM1396,NRRL YB-4449,Unknown,Grape vine,mosaic,SRR800830
YJM1415,YJM1407,NRRL Y-268,France,Wine,wine/European,SRR800831
YJM1417,YJM1411,NRRL YB-2541,"HI, USA",ND,wine/European,SRR800832
YJM1418,YJM1413,NRRL YB-4506,Japan,Oak tree,mosaic,SRR800833
YJM1419,YJM1412,NRRL YB-2625,Unknown,Bagasse,mosaic,SRR800834
YJM1433,Yllc17_E5,Ed Louis,France,Wine,wine/European,SRR800835
YJM1434,YPS606,P. Sniegowski,"PA, USA",Oak,North American,SRR800836
YJM1439,NCYC110,Ed Louis,W. Africa,Ginger beer,West African,SRR800837
YJM1443,UWOPS83-787.3,Ed Louis,Bahamas,Fruit,mosaic,SRR800838
YJM1444,UWOPS87-2421,Ed Louis,"HI, USA",Cladode,mosaic,SRR800839
YJM1447,UWOPS05-227.2,Ed Louis,Malaysia,Bertam Palm,Malaysian,SRR800840
YJM1450,273614N,Ed Louis,"Newcastle, UK",Clinical,wine/European,SRR800841
YJM1460,Y12,Ed Louis,Africa,Palm Wine,sake,SRR800842
YJM1463,DBVPG1853,Ed Louis,Ethiopia,White Tecc,wine/European,SRR800843
YJM1477,YJM1468,NRRL Y-581,"MO, USA",Blatz beer,wine/European,SRR800844
YJM1478,YJM1470,NRRL Y-1890,Unknown,Kefir,wine/European,SRR800845
YJM1479,YJM1474,NRRL Y-6297,Phillipines,Coconut tuba,mosaic,SRR800846
YJM1526,YJM1506,Phaff 74-29,Unknown,Clinical (throat),wine/European,SRR800847
YJM1527,YJM1510,Phaff 05-780,"Winters, CA",Prune,mosaic,SRR800848
YJM1549,DBVPG6040,Ed Louis,Netherlands,Fermenting fruit juice,mosaic,SRR800849
YJM1573,YJM1566,NRRL Y-12603,India,Fermented food,mosaic,SRR800850
YJM1574,N96 (=AWRI1775),Unknown,Wine,,wine/European,SRR800851
YJM1592,YJM1585,NRRL Y-17448,Thailand,Sewage,sake,SRR800852
YJM1615,,,,Clinical,mosaic,SRR800853
